Código,Ação
ABEV3,AMBEV S/A
AZUL4,AZUL
B3SA3,B3
BBAS3,BRASIL
BBDC3,BRADESCO
BBDC4,BRADESCO
BBSE3,BBSEGURIDADE
BPAC11,BTGP BANCO
BRAP4,BRADESPAR
BRDT3,PETROBRAS BR
BRFS3,BRF SA
BRKM5,BRASKEM
BRML3,BR MALLS PAR
BTOW3,B2W DIGITAL
CCRO3,CCR SA
CIEL3,CIELO
CMIG4,CEMIG
COGN3,COGNA ON
CRFB3,CARREFOUR BR
CSAN3,COSAN
CSNA3,SID NACIONAL
CVCB3,CVC BRASIL
CYRE3,CYRELA REALT
ECOR3,ECORODOVIAS
EGIE3,ENGIE BRASIL
ELET3,ELETROBRAS
ELET6,ELETROBRAS
EMBR3,EMBRAER
ENBR3,ENERGIAS BR
EQTL3,EQUATORIAL
FLRY3,FLEURY
GGBR4,GERDAU
GNDI3,INTERMEDICA
GOAU4,GERDAU MET
GOLL4,GOL
HAPV3,HAPVIDA
HGTX3,CIA HERING
HYPE3,HYPERA
IGTA3,IGUATEMI
IRBR3,IRBBRASIL RE
ITSA4,ITAUSA
ITUB4,ITAUUNIBANCO
JBSS3,JBS
KLBN11,KLABIN S/A
LAME4,LOJAS AMERIC
LREN3,LOJAS RENNER
MGLU3,MAGAZ LUIZA
MRFG3,MARFRIG
MRVE3,MRV
MULT3,MULTIPLAN
NTCO3,GRUPO NATURA
PCAR3,P.ACUCAR-CBD
PETR3,PETROBRAS
PETR4,PETROBRAS
QUAL3,QUALICORP
RADL3,RAIADROGASIL
RAIL3,RUMO S.A.
RENT3,LOCALIZA
SANB11,SANTANDER BR
SBSP3,SABESP
SMLS3,SMILES
SULA11,SUL AMERICA
SUZB3,SUZANO S.A.
TAEE11,TAESA
TIMP3,TIM PART S/A
TOTS3,TOTVS
UGPA3,ULTRAPAR
USIM5,USIMINAS
VALE3,VALE
VIVT4,TELEF BRASIL
VVAR3,VIAVAREJO
WEGE3,WEG
YDUQ3,YDUQS PART
